Solver,Precision,Size,Time_ms,GFLOPs
alpaka_full,float,64,0.020430,25.663155
alpaka_full,float,320,0.053256,1230.588965
alpaka_full,float,576,0.216159,1768.172007
alpaka_full,float,832,0.590116,1951.923274
alpaka_full,float,1088,1.272186,2024.725428
alpaka_full,float,1344,2.391572,2030.226000
alpaka_full,float,1600,3.991865,2052.173527
alpaka_full,float,1856,6.212539,2058.234102
alpaka_full,float,2112,9.314922,2022.704772
alpaka_full,float,2368,13.153241,2019.027839
alpaka_full,float,2624,17.967579,2011.091949
alpaka_full,float,2880,23.968067,1993.308166
alpaka_full,float,3136,31.027117,1988.001636
alpaka_full,float,3392,39.444782,1978.827620
alpaka_full,float,3648,61.321724,1583.361676
alpaka_full,float,3904,77.683693,1531.896979
alpaka_full,float,4160,93.450958,1540.728899
alpaka_full,float,4416,112.887169,1525.712163
alpaka_full,float,4672,135.223770,1508.292105
alpaka_full,float,4928,159.470657,1500.933009
alpaka_full,float,5184,186.456802,1494.330780
alpaka_full,float,5440,214.038727,1504.299585
alpaka_full,float,5696,247.006256,1496.345853
alpaka_full,float,5952,279.330597,1509.733368
alpaka_full,float,6208,318.598785,1501.899956
alpaka_full,float,6464,361.856293,1492.787224
alpaka_full,float,6720,408.970032,1484.042470
alpaka_full,float,6976,458.163025,1481.935747
alpaka_full,float,7232,511.524628,1478.899629
alpaka_full,float,7488,571.110474,1470.304810
alpaka_full,float,7744,633.073425,1467.141309
alpaka_full,float,8000,701.286743,1460.173046
alpaka_full,float,8256,776.367432,1449.678640
alpaka_full,float,8512,849.838623,1451.404201
alpaka_full,float,8768,935.147827,1441.621830
alpaka_full,float,9024,1021.255310,1439.106477
alpaka_full,float,9280,1103.133789,1448.924437
alpaka_full,float,9536,1207.620605,1436.144727
alpaka_full,float,9792,1306.895264,1436.823512
alpaka_full,float,10048,1417.611694,1431.237108
alpaka_full,float,10304,1532.721802,1427.526604
alpaka_full,float,10560,1648.255493,1428.884807
alpaka_full,float,10816,1769.727173,1429.959417
alpaka_full,float,11072,1898.738037,1429.694269
alpaka_full,float,11328,2030.866455,1431.556030
alpaka_full,float,11584,2169.860352,1432.761351
alpaka_full,float,11840,2329.770020,1424.859527
alpaka_full,float,12096,2479.101074,1427.779350
