Solver,Precision,Size,Time_ms,GFLOPs
naive,float,256,0.029645,1131.882614
naive,float,512,0.158771,1690.706203
naive,float,768,0.505446,1792.415002
naive,float,1024,1.201829,1786.846674
naive,float,1280,2.683186,1563.180734
naive,float,1536,4.813561,1505.695399
naive,float,1792,7.827406,1470.368290
naive,float,2048,11.841739,1450.789417
naive,float,2304,17.138584,1427.257977
naive,float,2560,23.787720,1410.577911
naive,float,2816,31.177067,1432.493611
naive,float,3072,40.414104,1434.698585
naive,float,3328,51.920330,1419.850125
naive,float,3584,78.426521,1174.007974
naive,float,3840,113.921898,994.068832
naive,float,4096,140.226105,980.123877
