Solver,Precision,Size,Time_ms,GFLOPs
naive,float,256,0.029126,1152.028121
naive,float,512,0.157082,1708.891743
naive,float,768,0.502838,1801.711255
naive,float,1024,1.175706,1826.548685
naive,float,1280,2.654259,1580.216428
naive,float,1536,4.793597,1511.966421
naive,float,1792,7.801853,1475.184153
naive,float,2048,11.804365,1455.382730
naive,float,2304,17.444660,1402.215960
naive,float,2560,23.337887,1437.766507
naive,float,2816,30.945230,1443.225605
naive,float,3072,40.355946,1436.766198
naive,float,3328,51.919880,1419.862435
naive,float,3584,78.383049,1174.659095
naive,float,3840,113.630356,996.619320
naive,float,4096,138.719894,990.765990
